The New York Times;@nytimes;2021-12-03T20:15:03.000Z;Cognitive Rehab: One Patient’s Painstaking Path Through Long Covid Therapy Samantha Lewis is relearning some basic aspects of her daily life after struggling with brain fog and other lingering symptoms for more than a year since being infected by the virus.;25;62
The New York Times;@nytimes;2021-12-03T17:21:26.000Z;Breaking News: The parents of the Michigan school shooting suspect were charged with involuntary manslaughter, a rare step in prosecuting school shootings.;280;1300
The New York Times;@nytimes;2021-12-03T17:20:16.000Z;The Biden administration is fighting to preserve Title 42, a Trump-era rule that uses the pandemic to justify turning back migrants at the border to keep the virus from spreading in the U.S. But many have been allowed to stay, despite the rule.;25;50
The New York Times Retweeted;@Julesm_b;2021-12-03T17:14:51.000Z;Facing Charges, Parents of Michigan Shooting Suspect Are Now Fugitives Prosecutors charged the parents of the 15-year-old accused of killing four classmates with involuntary manslaughter, saying they failed to act on troubling signs.;8;12
The New York Times;@nytimes;2021-12-03T13:33:30.000Z;Alec Baldwin Says He Is Not Responsible for Fatal Shooting on ‘Rust’ In an emotional interview with ABC News, the actor asserted, “Someone put a live bullet in a gun.”;244;115
The New York Times;@nytimes;2021-12-03T16:55:47.000Z;What We Know About the Fatal Shooting on Alec Baldwin’s New Mexico Movie Set The authorities are investigating the death of the cinematographer Halyna Hutchins on the set of “Rust” in Santa Fe County. Here’s what we know.;31;16
The New York Times;@nytimes;2021-12-03T15:00:11.000Z;New travel rules add pre-flight stress for people flying to the U.S.;39;61
The New York Times;@nytimes;2021-12-03T14:50:04.000Z;Hundreds of Companies Promised to Help Save Forests. Did They? Cargill, Nestle, Carrefour and others pledged to reach net-zero deforestation in their supply chains by 2020.;22;76
The New York Times Retweeted;@taraparkerpope;2021-12-03T02:12:23.000Z;Our 8 Favorite Books in 2021 for Healthy Living This year’s Well Book List includes advice on how to change behavior, lower anxiety, cope with hardship and heal with poetry.;7;28
The New York Times;@nytimes;2021-12-03T14:30:07.000Z;A Christmas party in Norway becomes a possible Omicron-spreading event. All those infected were fully vaccinated and tested before entering a restaurant in central Oslo, where one traveler from South Africa carried the new variant.;50;116
The New York Times Retweeted;@bencasselman;2021-12-03T13:30:51.000Z;The November jobs report is expected to show another healthy gain. Economists are looking for an increase of more than 500,000 for the second straight month.;38;39
The New York Times;@nytimes;2021-12-03T14:10:03.000Z;Columbia University Student Dies in Stabbing Near Campus The graduate student, Davide Giri, was fatally stabbed near the school’s campus in Manhattan on Thursday night.;59;159
The New York Times;@nytimes;2021-12-03T14:00:13.000Z;Covid Treatments Are Coming Here’s why they are a big deal.;30;65
The New York Times;@nytimes;2021-12-03T11:15:04.000Z;Didi Moves to Leave U.S. Stock Market Just Months After Huge Offering The abrupt shift by the ride-hailing giant comes as officials in Washington and Beijing have grown increasingly skeptical of Chinese corporate access to Wall Street’s money.;31;76
The New York Times;@nytimes;2021-12-03T11:00:05.000Z;Emphasizing Tests, Biden Vows to Fight Omicron With ‘Science and Speed’ The president’s plan shifts away from a near-singular focus on vaccination, as new cases of the variant have emerged in the United States.;106;147
The New York Times;@nytimes;2021-12-03T10:45:07.000Z;New Zealand’s biggest city ends its 107-day lockdown. Auckland entered severe restrictions in mid-August as it began fighting a Delta outbreak. Some bars reopened a minute before midnight, the moment they could.;23;53
The New York Times;@nytimes;2021-12-03T10:30:05.000Z;Europe Met a Climate Target. But Is It Burning Less Carbon? The European Union promised to reduce its emissions 20 percent by 2020. Did it happen?;17;31
The New York Times;@nytimes;2021-12-03T10:00:16.000Z;Philippine Court Allows Maria Ressa to Attend Nobel Peace Prize Ceremony The decision came after days of growing international pressure on the government to allow the journalist to attend the ceremony in Norway.;13;119
The New York Times;@nytimes;2021-12-03T09:30:10.000Z;An ad with a vaccinated Santa that drew 5,000 complaints is cleared by British regulators. The commercial, for the supermarket chain Tesco, depicted Santa Claus being cleared to travel.;77;184
